,importance,stddev,p_value,n,p99_high,p99_low
Pupil Diameter Mean,0.07625418060200675,0.012151105100056814,7.482164417711949e-05,5,0.101273473949144,0.05123488725486951
Saccade Duration Min,0.06153846153846161,0.008394582206027509,4.054076219397899e-05,5,0.07882302232612846,0.04425390075079476
Saccade Count,0.03545150501672243,0.009036291696392215,0.0004654665317687649,5,0.05405735451441793,0.016845655519026934
Fixation Duration Min,0.034782608695652216,0.020425995297127096,0.009488715105170504,5,0.076840015329694,-0.007274797938389581
Fixation Dispersion Min,0.010033444816053505,0.007843504615089342,0.022955756187657425,5,0.026183329227276935,-0.006116439595169925
Saccade Duration Mean,0.009364548494983272,0.002798194068675836,0.0008525787423637817,5,0.015126068757538889,0.0036030282324276547
Fixation Duration Mean,0.008695652173913038,0.0055963881373516725,0.012740740740740738,5,0.020218692699024272,-0.0028273883511981974
Saccade Peak Deceleration Min,0.006020066889632103,0.003663696036823851,0.010655820564378356,5,0.01356366766711295,-0.001523533887848743
Fixation Count,0.006020066889632103,0.007626591472235032,0.07615870569565075,5,0.021723324141660262,-0.009683190362396057
Saccade Peak Deceleration Max,0.004682274247491636,0.003813295736117516,0.025802978905587363,5,0.012533902873505715,-0.0031693543785224444
Saccade Peak Acceleration Max,0.004013377926421402,0.005495544055235777,0.08890390417811063,5,0.015328779092642672,-0.007302023239799869
Saccade Amplitude Min,0.0033444816053511683,0.006688963210702337,0.1630821176725302,5,0.01711714930748373,-0.010428186096781394
Saccade Amplitude Max,0.0033444816053511683,0.007843504615089342,0.19717414165456412,5,0.0194943660165746,-0.012805402805872262
Fixation Dispersion Max,0.002006688963210701,0.003813295736117516,0.1522793923402675,5,0.009858317589224782,-0.005844939662803379
Fixation Duration Max,0.002006688963210701,0.003813295736117516,0.1522793923402675,5,0.009858317589224782,-0.005844939662803379
Saccade Duration Max,0.0006688963210702336,0.00436067050515227,0.37443422501176327,5,0.009647577162050178,-0.008309784519909711
Saccade Peak Acceleration Mean,0.0006688963210702336,0.0014956976438125673,0.1869504831500295,5,0.003748558442418657,-0.0024107658002781897
Blink Duration Mean,0.0006688963210702336,0.008327692038788444,0.43309684611320626,5,0.017815729329871494,-0.016477936687731023
Saccade Peak Deceleration Mean,0.0006688963210702336,0.002798194068675836,0.31065414751874854,5,0.00643041658362585,-0.005092623941485384
Saccade Amplitude Mean,0.0006688963210702336,0.0072506633406952455,0.42332161789679373,5,0.01559811235437903,-0.014260319712238564
Saccade Direction Mean,0.0,0.004096136693617352,0.5,5,0.00843400206678372,-0.00843400206678372
Saccade Peak Velocity Mean,-0.0006688963210702336,0.00798484039218282,0.5697351421814496,5,0.0157720004086567,-0.01710979305079717
Blink Duration Max,-0.0006688963210702336,0.0072506633406952455,0.5766783821032062,5,0.014260319712238564,-0.01559811235437903
Saccade Peak Velocity Max,-0.0013377926421404673,0.0018318480184119255,0.9110960958218894,5,0.0024340077465999557,-0.005109593030880891
Pupil Diameter Max,-0.0013377926421404673,0.00872134101030454,0.6255657749882368,5,0.016619569039819423,-0.019295154324100356
Saccade Peak Acceleration Min,-0.002006688963210701,0.006519594879470875,0.7354333498090712,5,0.011417247003997173,-0.015430624930418576
Pupil Diameter Min,-0.002006688963210701,0.003813295736117516,0.8477206076597326,5,0.005844939662803379,-0.009858317589224782
Saccade Peak Velocity Min,-0.004682274247491636,0.01124263298593418,0.797783567953893,5,0.018466462460248106,-0.027831010955231376
Saccade Direction Max,-0.004682274247491636,0.006935264666664785,0.8971800205246455,5,0.009597531556715503,-0.018962080051698776
Fixation Dispersion Mean,-0.005351170568561869,0.003813295736117516,0.9825401466627305,5,0.002500458057452211,-0.01320279919457595
Blink Count,-0.005351170568561869,0.007699574871719954,0.9024310412069733,5,0.010502360511743528,-0.02120470164886727
Saccade Direction Min,-0.006020066889632103,0.003663696036823851,0.9893441794356216,5,0.001523533887848743,-0.01356366766711295
